,CVE_DOC,FECHA_DOC,NOMBRE_VENDEDOR,NOMBRE_CLIENTE,CANT,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
1,F37036,2022-01-05,LETICIA RAMIREZ HERNANDEZ,JUAN ANTONIO RESENDIZ UGALDE,1,TUA00028,"TUA U"" 5/16 ØX250MM 1200W 120V TAP1""NPT",1264.05,327.18,327.18,1264.05,327.18,936.87,936.87
6,F37044,2022-01-05,DIEGO ARMANDO LEON DURAN,AIRBUS HELICOPTERS MEXICO QUERETARO,1,RP00165,REPARACION DE BATIDOR 16.6KW 440V,14000.0,5323.76,5323.76,14000.0,5323.76,8676.24,8676.24
8,F37048,2022-01-05,DIEGO ARMANDO LEON DURAN,FIDEICOMISO F/1596,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,517.89,517.89,1615.0,517.89,1097.11,1097.11
9,F37049,2022-01-05,DIEGO ARMANDO LEON DURAN,FIDEICOMISO F/1596,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,517.89,517.89,1615.0,517.89,1097.11,1097.11
10,F37050,2022-01-05,DIEGO ARMANDO LEON DURAN,FIDEICOMISO F/1596,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,517.89,517.89,1615.0,517.89,1097.11,1097.11
11,F37051,2022-01-05,DIEGO ARMANDO LEON DURAN,FIDEICOMISO F/1596,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,0.0,586.32,1615.0,586.32,1028.68,1028.68
12,F37052,2022-01-05,DIEGO ARMANDO LEON DURAN,FIDEICOMISO F/1596,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,0.0,586.32,1615.0,586.32,1028.68,1028.68
13,F37053,2022-01-05,DIEGO ARMANDO LEON DURAN,SANDIBEEL BECERRA HURTADO,1,BO00051,BOB 8020 CAL.26 127V BAS28.5CMX27CM MICA,1485.25,0.0,86.22,1485.25,86.22,1399.03,1399.03
14,F37054,2022-01-05,DIEGO ARMANDO LEON DURAN,INDUSTRIAS NIBA,1,BC00023,BC INOX 114MMØX165MM 1500W 230V C/ALLEN,2095.25,0.0,742.05,2095.25,742.05,1353.2,1353.2
16,F37059,2022-01-05,DIEGO ARMANDO LEON DURAN,SILCA CERAMICO PRODUCTOS,2,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",771.28,124.0,124.0,1542.56,248.0,647.28,1294.56
18,F37061,2022-01-05,ALFREDO CANELA,ELICAMEX,5,WRE-2133,BAN MICA 120mmØx50mm 850W 440V TTORNILLO,821.3,0.0,78.7,4106.5,393.48,742.6,3713.02
19,F37061,2022-01-05,ALFREDO CANELA,ELICAMEX,7,WRE-2774,BAN MICA Ø120MM X 50 MM 700W 440V T TOR,821.3,0.0,75.77,5749.1,530.41,745.53,5218.69
21,F37067,2022-01-07,DIEGO ARMANDO LEON DURAN,APEX TOOL GROUP MANUFACTURING MEXICO,3,MR01934,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,147.76,147.76,2815.59,443.27,790.77,2372.32
23,F37068,2022-01-07,DIEGO ARMANDO LEON DURAN,KWANTREATS,1,PT00081,"PT-100 DE 1/4""ØX14.5CM EXT 5MT CONECTOR",898.25,332.65,332.65,898.25,332.65,565.6,565.6
24,F37069,2022-01-07,AARON NUÑO CORDOVA,ADVANEX DE MEXICO,2,RP00150,REPARACION DE TERMOPAR,1500.0,0.36,0.36,3000.0,0.72,1499.64,2999.28
25,F37071,2022-01-07,DIEGO ARMANDO LEON DURAN,FRANCISCO JAVIER MEDINA SANCHEZ,3,TUA00009,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP",1848.0,1081.89,1081.89,5544.0,3245.66,766.11,2298.34
28,F37077,2022-01-07,DIEGO ARMANDO LEON DURAN,JOSE LUIS CHAVEZ LUNA,2,PT00044,"PT-100 1/4""Øx60CMS CABEZA Y BLOCK 1/2""X",2005.46,489.39,489.39,4010.92,978.77,1516.07,3032.15
29,F37078,2022-01-07,ALFREDO CANELA,CLAVOS NACIONALES C.N,30,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,305.44,305.44,38979.6,9163.18,993.88,29816.42
30,F37083,2022-01-10,ALFREDO CANELA,PEDRO ANTONIO SOTO IBARRA,6,TUE00247,"TUB INOX 7/16""ØX490MM U ESP 3200W 220V",856.04,295.24,295.24,5136.22,1771.42,560.8,3364.8
31,F37086,2022-01-10,ALFREDO CANELA,CLAVOS NACIONALES C.N,30,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,305.44,305.44,38979.6,9163.18,993.88,29816.42
37,F37097,2022-01-11,LETICIA RAMIREZ HERNANDEZ,DESECHOS INDUSTRIALES CONIN,1,BN00232,BAN INOX 197MMØX152MM 3500W 440V T/TORNI,945.0,289.05,289.05,945.0,289.05,655.95,655.95
39,F37100,2022-01-12,DIEGO ARMANDO LEON DURAN,APEX TOOL GROUP MANUFACTURING MEXICO,1,MR01934,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,0.0,161.73,938.53,161.73,776.8,776.8
40,F37102,2022-01-12,ALFREDO CANELA,DEACERO,3,TUE00321,"TUB INOX 1/2""ØX1030MMX980MM 3KW480V ""L""",12720.0,0.0,1509.14,38160.0,4527.42,11210.86,33632.58
43,F37107,2022-01-12,AARON NUÑO CORDOVA,ENRIQUE VAZQUEZ PEREZ,8,TUA00404,"TUB INOX 5/16""ØX50CM 4000W240V ""J"" 1""NPT",1328.0,0.0,497.54,10624.0,3980.31,830.46,6643.69
45,F37114,2022-01-14,LETICIA RAMIREZ HERNANDEZ,MARCOS FRANCISCO GOMEZ PONCE,1,TUS00049,"TUB INOX. 5/16""Øx1 MTS 900W, 127V. U TOR",803.0,140.29,140.29,803.0,140.29,662.71,662.71
46,F37117,2022-01-14,DIEGO ARMANDO LEON DURAN,APLICACIONES SILIDRIEL,2,TUE00322,"TUB INOX 7/16""ØX410MM 2500W220V CIRCULAR",785.25,181.88,181.88,1570.5,363.75,603.38,1206.75
49,F37120,2022-01-14,DIEGO ARMANDO LEON DURAN,JORGE RUBIN SAENZ,1,TUE00328,"TUB INOX 5/16""ØX111MM 2500W220V ESPIRAL",2150.0,0.0,195.26,2150.0,195.26,1954.74,1954.74
53,F37129,2022-01-17,DIEGO ARMANDO LEON DURAN,COMPAÑIA VINICOLA SAN PATRICIO,2,TUE00324,"TUB INOX 5/16""ØX110MM 1500W 127V ESPIRAL",835.5,242.48,242.48,1671.0,484.95,593.02,1186.05
54,F37129,2022-01-17,DIEGO ARMANDO LEON DURAN,COMPAÑIA VINICOLA SAN PATRICIO,2,TUE00325,"TUB INOX 5/16""ØX110MM 1500W 240V ESPIRAL",895.5,235.56,235.56,1791.0,471.13,659.94,1319.87
55,F37130,2022-01-17,DIEGO ARMANDO LEON DURAN,ROSANA RUELAS RIOS,1,TUE00326,"TUB INOX 5/16""ØX383MMØX354MM 2KW240V CHI",1264.25,0.0,319.8,1264.25,319.8,944.45,944.45
56,F37130,2022-01-17,DIEGO ARMANDO LEON DURAN,ROSANA RUELAS RIOS,1,TUE00327,"TUB INOX 5/16""ØX383MMØX354MM 2KW240V GDE",1264.25,0.0,313.8,1264.25,313.8,950.45,950.45
61,F37143,2022-01-19,LETICIA RAMIREZ HERNANDEZ,ALBERTO VILLALOBOS GARCIA,3,BC00024,BC PLANA INOX 52MMX60CM 750W 220V T/TOR,1412.0,556.14,556.14,4236.0,1668.42,855.86,2567.58
62,F37143,2022-01-19,LETICIA RAMIREZ HERNANDEZ,ALBERTO VILLALOBOS GARCIA,3,BC00025,BC PLANA INOX 51MMX490MM 1000W 220V T/TO,1188.0,447.68,447.68,3564.0,1343.05,740.32,2220.95
65,F37147,2022-01-19,ALFREDO CANELA,VALEO KAPEC,8,TUA00258,"TUB INOX 7/16""Øx190mm 2000W 400V BUS/LAT",2177.5,272.65,272.65,17420.0,2181.22,1904.85,15238.78
67,F37150,2022-01-19,DIEGO ARMANDO LEON DURAN,JESUS BRYAN SEGURA SOLIS,4,BN00237,BAN INOX 122MMØX50MM 750W460V EXT1MT STD,985.1,105.68,105.68,3940.4,422.72,879.42,3517.68
68,F37152,2022-01-20,DIEGO ARMANDO LEON DURAN,COLEP,4,TUA00364,"TUB INOX 7/16""ØX742MM U 20KW440V BRIDA6""",2644.28,0.0,795.74,10577.12,3182.95,1848.54,7394.17
74,F37169,2022-01-21,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,275.5,275.5,44259.0,8264.95,1199.8,35994.05
75,F37171,2022-01-21,LETICIA RAMIREZ HERNANDEZ,PÚBLICO EN GENERAL,3,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,200.3,200.3,2999.72,600.9,799.61,2398.82
76,F37174,2022-01-24,DIEGO ARMANDO LEON DURAN,NHK SPRING MEXICO,10,TUE00146,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,372.67,372.67,14500.0,3726.73,1077.33,10773.27
77,F37175,2022-01-24,DIEGO ARMANDO LEON DURAN,NHK SPRING MEXICO,6,BO00054,BOB 8020 CAL. 13 13.7MMØX1.5MTS GAZA30CM,1450.0,360.5,360.5,8700.0,2162.98,1089.5,6537.02
78,F37175,2022-01-24,DIEGO ARMANDO LEON DURAN,NHK SPRING MEXICO,6,BO00055,"BOB 8020 CAL.13 13.7MMØX800MM ""U""GAZ30CM",1450.0,337.97,337.97,8700.0,2027.79,1112.03,6672.21
81,F37184,2022-01-24,DIEGO ARMANDO LEON DURAN,SAEQRO,2,BE00010,BAN INOX 103MMØX45MMØX65MM 400W255V ESP,1025.87,0.0,115.58,2051.74,231.15,910.29,1820.59
82,F37184,2022-01-24,DIEGO ARMANDO LEON DURAN,SAEQRO,2,BL00011,BAN M/L INOX 210mmØx70mm 650W 255V CABLE,1587.25,0.0,165.19,3174.5,330.39,1422.06,2844.11
83,F37184,2022-01-24,DIEGO ARMANDO LEON DURAN,SAEQRO,2,BL00052,BAN M/LUNA 210MMØX70MM 1.6KW255V CLA-STD,2985.36,0.0,385.71,5970.72,771.42,2599.65,5199.3
87,F37191,2022-01-25,ALFREDO CANELA,DONGA HWASUNG MEXICO,1,TEE00026,TER K 12MMØX22CM EXT8MT MAQ-ESPECIAL,1880.28,0.0,292.75,1880.28,292.75,1587.53,1587.53
90,F37198,2022-01-26,LETICIA RAMIREZ HERNANDEZ,ARISVET HERNANDEZ CASTILLO,3,TUA00410,"TUB INOX 7/16""ØX500MM 3000W240V BUS3/4""",830.25,363.33,363.33,2490.75,1090.0,466.92,1400.75
92,F37204,2022-01-27,LETICIA RAMIREZ HERNANDEZ,PÚBLICO EN GENERAL,1,TUA00350,"TUB INOX 7/16""ØX280MM ""U"" 9000W260V PLAC",1659.6,436.54,436.54,1659.6,436.54,1223.06,1223.06
95,F37217,2022-01-28,LETICIA RAMIREZ HERNANDEZ,SOLUCIONES METALMECANICAS ZEKRAMA,3,RP00176,REPARACION DE SOLDADURA A PLACAS TUBULAR,900.0,0.0,247.52,2700.0,742.57,652.48,1957.43
